"STATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT13","WT14","WT16","WT18","WT19","WT22"
"USW00094728","2013-01-23","7.83",,"0.00","0.0","0.0",,"20","11",,"  280","  280","17.0","25.9",,,,,,,,,,,,
"USW00094728","2013-01-24","8.50",,"0.00","0.0","0.0",,"22","12",,"  300","  320","19.9","31.1",,,,,,,,,,,,
"USW00094728","2013-01-25","6.71",,"0.07","1.5","0.0",,"24","13",,"  280","  290","15.0","23.0",,,,,,,"    1",,,"    1",,
"USW00094728","2013-01-26","6.71",,"0.00","0.0","2.0",,"27","15",,"  300","  290","17.0","27.1",,,,,,,,,,,,
"USW00094728","2013-01-27","5.82",,"0.00","0.0","1.0",,"34","19",,"  280","  290","14.1","21.0",,,,,,,,,,,,
"USW00094728","2013-01-28","4.70",,"0.22","0.0","1.0",,"36","29",,"  250","  250","13.0","21.0",,,,,,"    1",,,"    1","    1","    1",
"USW00094728","2013-01-29","4.47",,"0.06","0.0","0.0",,"49","36",,"  140",,"10.1",,,,,,,"    1","    1",,"    1",,,
"USW00094728","2013-01-30","5.14",,"0.04","0.0","0.0",,"59","39",,"  170","  170","15.0","23.0","    1","    1",,,,"    1",,,"    1",,,
"USW00094728","2013-01-31","12.30",,"0.90","0.0","0.0",,"61","30",,"  280","  290","25.9","44.1","    1",,,,,,"    1",,"    1",,,
"USW00094728","2013-02-01","8.50",,"0.00","0.0","0.0",,"31","24",,"  290","  290","15.0","32.0",,,,,,,,,,,,
"USW00094728","2013-02-02","6.49",,"0.02","0.1","0.0",,"29","19",,"  290","  250","16.1","25.9",,,,,,"    1","    1",,,"    1",,
"USW00094728","2013-02-03","3.58",,"0.02","0.3","0.0",,"30","24",,"  300","  290","10.1","15.0",,,,,,"    1","    1",,,"    1",,
"USW00094728","2013-02-04","7.38",,"0.00","0.0","0.0",,"30","23",,"  260","  290","17.0","32.0",,,,,,,,,,,,
"USW00094728","2013-02-05","4.92",,"0.02","0.4","0.0",,"32","28",,"   60","   60","13.0","15.0",,,,,,"    1","    1",,,"    1",,
"USW00094728","2013-02-06","4.70",,"0.00","0.0","0.0",,"39","29",,"  310","  300","15.0","23.0",,,,,,"    1","    1",,,,,
"USW00094728","2013-02-07","5.82",,"0.00","0.0","0.0",,"32","26",,"   80","   90","10.1","13.0",,,,,,,,,,,,
"USW00094728","2013-02-08","13.65",,"1.15","6.3","0.0",,"34","27",,"   70","   80","25.1","36.9","    1","    1",,,,,,,"    1","    1",,
"USW00094728","2013-02-09","8.50",,"0.38","5.1","11.0",,"32","21",,"  320","  310","17.9","31.1",,"    1",,,,"    1",,,,"    1",,"    1"
"USW00094728","2013-02-10","3.13",,"0.00","0.0","10.0",,"36","18",,"  310","  330","13.0","19.9",,,,,,,,,,,,
"USW00094728","2013-02-11","3.58",,"0.49","0.0","9.0",,"45","34",,"  310","  170","10.1","17.9","    1",,,,,,"    1",,"    1",,,
"USW00094728","2013-02-12","8.50",,"0.00","0.0","4.0",,"44","36",,"  290","  300","17.0","32.0",,,,,,,,,,,,
"USW00094728","2013-02-13","3.36",,"0.03","0.0","0.0",,"44","33",,"   40","   40","12.1","17.9","    1",,,,,,"    1",,,"    1",,
"USW00094728","2013-02-14","4.03",,"0.00","0.0","0.0",,"46","33",,"   30","  250","13.0","17.9","    1",,,,,,,,,"    1",,
"USW00094728","2013-02-15","6.04",,"0.00","0.0","0.0",,"55","37",,"  310","  300","16.1","23.9",,,,,,"    1",,,,,,
"USW00094728","2013-02-16","7.16",,"0.02","0.0","0.0",,"41","31",,"   10","   20","15.0","25.1","    1",,,,,,,,"    1","    1","    1",
"USW00094728","2013-02-17","12.30",,"0.00","0.0","0.0",,"32","18",,"  310","  320","25.1","40.0",,,,,,,,,,,,
"USW00094728","2013-02-18","8.28",,"0.00","0.0","0.0",,"35","17",,"  290","  290","17.0","31.1",,,,,,,,,,,,
"USW00094728","2013-02-19","6.71",,"0.15","0.0","0.0",,"49","33",,"  290","  290","17.9","28.0","    1",,,,,,"    1",,"    1",,,
"USW00094728","2013-02-20","12.08",,"0.00","0.0","0.0",,"38","25",,"  290","  280","21.9","34.0",,,,,,,,,,,,
"USW00094728","2013-02-21","10.07",,"0.00","0.0","0.0",,"34","24",,"  310","  270","21.0","32.0",,,,,,,,,,,,
"USW00094728","2013-02-22","7.16",,"0.00","0.0","0.0",,"38","25",,"   40","   40","16.1","23.9",,,,,,,,,,,,
"USW00094728","2013-02-23","8.95",,"0.26","0.0","0.0",,"42","36",,"   60","   70","21.0","30.0","    1",,,,,,"    1",,"    1",,"    1",
"USW00094728","2013-02-24","7.16",,"0.01","0.0","0.0",,"47","34",,"  310","  320","17.0","32.0","    1",,,,,,"    1","    1",,,"    1",
"USW00094728","2013-02-25","4.70",,"0.00","0.0","0.0",,"45","32",,"  310","   20","12.1","17.9",,,,,,,,,,,,
"USW00094728","2013-02-26","7.61",,"0.14","0.0","0.0",,"44","35",,"   70","   80","19.9","28.0",,,,,,"    1","    1",,"    1",,,
"USW00094728","2013-02-27","11.18",,"1.56","0.0","0.0",,"47","36",,"   70","   50","23.9","36.9","    1",,,,,,"    1",,"    1",,,
"USW00094728","2013-02-28","4.47",,"0.00","0.0","0.0",,"51","39",,"  290","  280","12.1","19.0",,,,,,,,,"    1",,,
"USW00094728","2013-03-01","5.37",,"0.00","0.0","0.0",,"45","36",,"  310","  300","15.0","23.0",,,,,,,,,,,,
"USW00094728","2013-03-02","7.61",,"0.00","0.0","0.0",,"40","31",,"  310","  300","13.0","19.0",,,,,,"    1",,,,"    1",,
"USW00094728","2013-03-03","7.61",,"0.00","0.0","0.0",,"40","29",,"  310","  310","16.1","25.1",,,,,,"    1",,,,"    1",,
